,Citation_Difference
459319,10.0
700399,10.0
753397,10.0
564843,10.0
928289,10.0
372952,10.0
815506,10.0
561817,10.0
795701,10.0
679963,10.0
666911,10.0
787904,10.0
92111,10.0
925259,10.0
778259,10.0
749640,10.0
247106,10.0
797035,10.0
690937,10.0
1255630,10.0
897764,10.0
294424,10.0
392813,10.0
360686,10.0
267850,10.0
703686,10.0
749637,10.0
108861,10.0
1094080,10.0
9138,10.0
777090,10.0
167744,10.0
565731,10.0
560340,10.0
181758,10.0
753099,10.0
527538,10.0
803683,10.0
1251418,10.0
133288,10.0
377122,10.0
91761,10.0
98158,10.0
1085651,10.0
1286761,10.0
157549,10.0
214924,10.0
306144,10.0
884843,10.0
524920,10.0
1356276,10.0
372630,10.0
1343079,10.0
1241819,10.0
852966,10.0
1419899,10.0
190228,10.0
1089847,10.0
701526,10.0
11003,10.0
900116,10.0
920184,10.0
273001,10.0
650625,10.0
685829,10.0
489219,10.0
216026,10.0
885251,10.0
453089,10.0
489686,10.0
767776,10.0
826590,10.0
216646,10.0
727731,10.0
1182519,10.0
917526,10.0
800108,10.0
1230244,10.0
698723,10.0
403826,10.0
1121877,10.0
1230247,10.0
180863,10.0
746042,10.0
562903,10.0
21105,10.0
403867,10.0
357255,10.0
563066,10.0
1343107,10.0
83549,10.0
11757,10.0
758568,10.0
214544,10.0
110448,10.0
681985,10.0
315573,10.0
248280,10.0
418730,10.0
1370682,10.0
912802,10.0
825146,10.0
880002,10.0
53109,10.0
837678,10.0
693135,10.0
688539,10.0
756707,10.0
748781,10.0
470764,10.0
673551,10.0
1306905,10.0
1128041,10.0
61682,10.0
1245231,10.0
675543,10.0
445198,10.0
1235282,10.0
362920,10.0
767145,10.0
247155,10.0
637644,10.0
592037,10.0
1266257,10.0
264855,10.0
662983,10.0
1307231,10.0
1514566,10.0
668026,10.0
373436,10.0
320952,10.0
1291271,10.0
499139,10.0
945596,10.0
66306,10.0
801012,10.0
1123936,10.0
520796,10.0
122259,10.0
1269705,10.0
509912,10.0
545780,10.0
919728,10.0
4994,10.0
1235978,10.0
659804,10.0
234835,10.0
647737,10.0
582951,10.0
